Type,Coverage,OdName,AREA,AreaName,REG,RegName,DEV,DevName,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Immigrants,Foreigners,Dominican Republic,904.0,Latin America and the Caribbean,915.0,Caribbean,902.0,Developing regions,40.0,53.0,104.0,88.0,97.0,84.0,307.0,446.0,358.0,409.0,363.0,517.0,557.0,646.0,432.0,276.0,306.0,285.0,210.0,254.0,241.0,264.0,202.0,234.0,270.0,303.0,295.0,311.0,438.0,391.0,479.0,739.0,604.0,590.0
Immigrants,Foreigners,Ecuador,904.0,Latin America and the Caribbean,931.0,South America,902.0,Developing regions,238.0,207.0,184.0,155.0,179.0,208.0,240.0,344.0,265.0,278.0,552.0,643.0,644.0,547.0,431.0,368.0,310.0,317.0,295.0,291.0,342.0,353.0,418.0,361.0,417.0,491.0,525.0,419.0,437.0,373.0,353.0,348.0,282.0,418.0
Immigrants,Foreigners,Egypt,903.0,Africa,912.0,Northern Africa,902.0,Developing regions,612.0,660.0,755.0,455.0,447.0,348.0,514.0,1017.0,1085.0,1663.0,2365.0,1860.0,1558.0,1598.0,2375.0,2821.0,2561.0,2137.0,1387.0,1378.0,1642.0,2595.0,2039.0,2230.0,2393.0,2496.0,2190.0,2356.0,3347.0,3496.0,5982.0,4663.0,5555.0,4165.0
Immigrants,Foreigners,El Salvador,904.0,Latin America and the Caribbean,916.0,Central America,902.0,Developing regions,110.0,295.0,882.0,2587.0,2666.0,2769.0,3106.0,3558.0,2720.0,2955.0,4384.0,7124.0,5670.0,2977.0,1217.0,722.0,736.0,603.0,477.0,424.0,569.0,453.0,473.0,446.0,442.0,436.0,430.0,929.0,1115.0,845.0,787.0,691.0,641.0,639.0
Immigrants,Foreigners,Equatorial Guinea,903.0,Africa,911.0,Middle Africa,902.0,Developing regions,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,4.0,1.0,2.0,2.0,2.0,3.0,4.0,5.0,1.0,5.0,4.0,4.0,4.0,11.0
Immigrants,Foreigners,Eritrea,903.0,Africa,910.0,Eastern Africa,902.0,Developing regions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,58.0,100.0,80.0,77.0,79.0,153.0,221.0,176.0,262.0,414.0,528.0,700.0,699.0,799.0,904.0,931.0,1182.0,1335.0,1719.0
Immigrants,Foreigners,Estonia,908.0,Europe,924.0,Northern Europe,901.0,Developed regions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,4.0,30.0,51.0,39.0,70.0,89.0,73.0,50.0,54.0,58.0,30.0,38.0,56.0,27.0,26.0,18.0,34.0,34.0,26.0,28.0,15.0,26.0,45.0
Immigrants,Foreigners,Ethiopia,903.0,Africa,910.0,Eastern Africa,902.0,Developing regions,98.0,59.0,54.0,98.0,154.0,157.0,302.0,555.0,690.0,1096.0,890.0,1168.0,1876.0,1779.0,1204.0,870.0,999.0,739.0,563.0,678.0,1074.0,1062.0,818.0,1399.0,1535.0,1506.0,1801.0,1512.0,1613.0,1289.0,1865.0,2163.0,1864.0,1606.0
Immigrants,Foreigners,Fiji,909.0,Oceania,928.0,Melanesia,902.0,Developing regions,632.0,705.0,814.0,554.0,389.0,446.0,361.0,523.0,561.0,736.0,1172.0,1619.0,1782.0,1317.0,1016.0,674.0,621.0,448.0,388.0,360.0,458.0,643.0,611.0,561.0,495.0,298.0,277.0,304.0,321.0,311.0,398.0,316.0,270.0,228.0
Immigrants,Foreigners,Finland,908.0,Europe,924.0,Northern Europe,901.0,Developed regions,208.0,205.0,170.0,70.0,83.0,69.0,68.0,92.0,89.0,78.0,73.0,63.0,76.0,98.0,99.0,76.0,58.0,82.0,55.0,63.0,70.0,53.0,59.0,65.0,54.0,67.0,51.0,62.0,89.0,63.0,63.0,72.0,62.0,76.0
Immigrants,Foreigners,France,908.0,Europe,926.0,Western Europe,901.0,Developed regions,1729.0,2027.0,2219.0,1490.0,1169.0,1177.0,1298.0,1658.0,2038.0,2332.0,2177.0,2911.0,3487.0,3709.0,2759.0,3332.0,2623.0,2473.0,3214.0,3343.0,3765.0,3806.0,3463.0,3568.0,4391.0,4429.0,4002.0,4290.0,4532.0,5051.0,4646.0,4080.0,6280.0,5623.0
Immigrants,Foreigners,Gabon,903.0,Africa,911.0,Middle Africa,902.0,Developing regions,2.0,3.0,2.0,2.0,1.0,0.0,0.0,5.0,3.0,4.0,10.0,5.0,3.0,8.0,4.0,5.0,9.0,12.0,14.0,20.0,16.0,26.0,24.0,42.0,33.0,67.0,68.0,101.0,86.0,86.0,64.0,63.0,74.0,90.0
Immigrants,Foreigners,Gambia,903.0,Africa,914.0,Western Africa,902.0,Developing regions,0.0,0.0,1.0,0.0,0.0,2.0,4.0,22.0,3.0,6.0,12.0,21.0,51.0,43.0,15.0,23.0,19.0,25.0,17.0,18.0,23.0,22.0,10.0,10.0,10.0,29.0,38.0,32.0,25.0,10.0,37.0,24.0,18.0,33.0
Immigrants,Foreigners,Georgia,935.0,Asia,922.0,Western Asia,902.0,Developing regions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,22.0,27.0,67.0,49.0,46.0,92.0,46.0,83.0,124.0,123.0,127.0,106.0,114.0,125.0,132.0,112.0,128.0,126.0,139.0,147.0,125.0
Immigrants,Foreigners,Germany,908.0,Europe,926.0,Western Europe,901.0,Developed regions,1626.0,1977.0,3062.0,2376.0,1610.0,1441.0,1233.0,1704.0,1482.0,1706.0,1273.0,1273.0,1181.0,1488.0,1255.0,1553.0,1686.0,1397.0,1363.0,1717.0,1703.0,1456.0,1375.0,1865.0,2020.0,2226.0,2767.0,2449.0,3833.0,3887.0,2956.0,2053.0,1702.0,1217.0
Immigrants,Foreigners,Ghana,903.0,Africa,914.0,Western Africa,902.0,Developing regions,172.0,196.0,98.0,122.0,116.0,172.0,215.0,970.0,408.0,429.0,449.0,1134.0,2502.0,2201.0,1341.0,1475.0,1219.0,1274.0,1040.0,845.0,959.0,782.0,696.0,564.0,738.0,851.0,710.0,688.0,629.0,659.0,802.0,528.0,531.0,517.0
Immigrants,Foreigners,Greece,908.0,Europe,925.0,Southern Europe,901.0,Developed regions,1065.0,953.0,897.0,633.0,580.0,584.0,547.0,765.0,564.0,773.0,538.0,592.0,492.0,445.0,275.0,220.0,221.0,190.0,141.0,149.0,150.0,135.0,107.0,117.0,120.0,100.0,74.0,110.0,107.0,119.0,101.0,102.0,146.0,298.0
Immigrants,Foreigners,Grenada,904.0,Latin America and the Caribbean,915.0,Caribbean,902.0,Developing regions,154.0,181.0,231.0,165.0,167.0,168.0,235.0,302.0,165.0,170.0,172.0,268.0,434.0,492.0,235.0,364.0,366.0,387.0,330.0,294.0,372.0,354.0,259.0,222.0,296.0,283.0,363.0,360.0,284.0,325.0,208.0,173.0,142.0,170.0
Immigrants,Foreigners,Guatemala,904.0,Latin America and the Caribbean,916.0,Central America,902.0,Developing regions,114.0,108.0,113.0,366.0,598.0,975.0,1265.0,1060.0,702.0,773.0,1023.0,2156.0,1906.0,1392.0,757.0,640.0,655.0,519.0,358.0,287.0,329.0,269.0,242.0,179.0,217.0,190.0,230.0,258.0,263.0,264.0,266.0,288.0,358.0,345.0
Immigrants,Foreigners,Guinea,903.0,Africa,914.0,Western Africa,902.0,Developing regions,0.0,3.0,3.0,6.0,4.0,3.0,5.0,14.0,12.0,17.0,10.0,44.0,36.0,32.0,16.0,49.0,61.0,38.0,107.0,100.0,168.0,177.0,205.0,196.0,281.0,256.0,342.0,415.0,327.0,347.0,395.0,352.0,407.0,463.0
Immigrants,Foreigners,Guinea-Bissau,903.0,Africa,914.0,Western Africa,902.0,Developing regions,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,4.0,4.0,4.0,1.0,2.0,2.0,2.0,3.0,4.0,0.0,1.0,1.0,3.0,2.0,6.0,4.0,7.0,12.0,7.0,2.0,0.0,2.0,2.0,4.0,0.0
Immigrants,Foreigners,Guyana,904.0,Latin America and the Caribbean,931.0,South America,902.0,Developing regions,2334.0,2943.0,3575.0,2650.0,1932.0,2299.0,3942.0,6174.0,2977.0,3270.0,2824.0,3266.0,2932.0,3399.0,4181.0,3935.0,2324.0,1795.0,1238.0,1366.0,1308.0,1707.0,1479.0,1410.0,1341.0,1215.0,1286.0,1277.0,1137.0,1180.0,953.0,804.0,676.0,656.0
Immigrants,Foreigners,Haiti,904.0,Latin America and the Caribbean,915.0,Caribbean,902.0,Developing regions,1666.0,3692.0,3498.0,2860.0,1418.0,1321.0,1753.0,2132.0,1829.0,2377.0,2379.0,2829.0,2399.0,3655.0,2100.0,2014.0,1955.0,1645.0,1295.0,1439.0,1631.0,2433.0,2174.0,1930.0,1652.0,1682.0,1619.0,1598.0,2491.0,2080.0,4744.0,6503.0,5868.0,4152.0
Immigrants,Foreigners,Honduras,904.0,Latin America and the Caribbean,916.0,Central America,902.0,Developing regions,26.0,33.0,30.0,68.0,65.0,69.0,81.0,135.0,111.0,138.0,187.0,688.0,840.0,551.0,291.0,270.0,299.0,225.0,167.0,173.0,201.0,180.0,143.0,105.0,133.0,166.0,164.0,165.0,187.0,169.0,386.0,538.0,436.0,350.0
Immigrants,Foreigners,Hungary,908.0,Europe,923.0,Eastern Europe,901.0,Developed regions,205.0,310.0,397.0,337.0,310.0,522.0,647.0,676.0,1139.0,979.0,780.0,775.0,795.0,603.0,349.0,306.0,364.0,319.0,337.0,408.0,418.0,627.0,537.0,489.0,671.0,516.0,520.0,425.0,383.0,312.0,354.0,287.0,300.0,425.0
Immigrants,Foreigners,Iceland,908.0,Europe,924.0,Northern Europe,901.0,Developed regions,17.0,33.0,10.0,9.0,13.0,6.0,11.0,11.0,7.0,3.0,2.0,11.0,17.0,15.0,11.0,9.0,14.0,11.0,20.0,17.0,9.0,26.0,11.0,17.0,23.0,10.0,2.0,15.0,13.0,15.0,30.0,38.0,42.0,72.0
Immigrants,Foreigners,India,935.0,Asia,5501.0,Southern Asia,902.0,Developing regions,8880.0,8670.0,8147.0,7338.0,5704.0,4211.0,7150.0,10189.0,11522.0,10343.0,12041.0,13734.0,13673.0,21496.0,18620.0,18489.0,23859.0,22268.0,17241.0,18974.0,28572.0,31223.0,31889.0,27155.0,28235.0,36210.0,33848.0,28742.0,28261.0,29456.0,34235.0,27509.0,30933.0,33087.0
Immigrants,Foreigners,Indonesia,935.0,Asia,920.0,South-Eastern Asia,902.0,Developing regions,186.0,178.0,252.0,115.0,123.0,100.0,127.0,213.0,270.0,260.0,227.0,252.0,243.0,278.0,262.0,205.0,231.0,166.0,165.0,525.0,1138.0,907.0,709.0,515.0,552.0,632.0,613.0,657.0,661.0,504.0,712.0,390.0,395.0,387.0
Immigrants,Foreigners,Iran (Islamic Republic of),935.0,Asia,5501.0,Southern Asia,902.0,Developing regions,1172.0,1429.0,1822.0,1592.0,1977.0,1648.0,1794.0,2989.0,3273.0,3781.0,3655.0,6250.0,6814.0,3959.0,2785.0,3956.0,6205.0,7982.0,7057.0,6208.0,5884.0,6169.0,8129.0,5918.0,6348.0,5837.0,7480.0,6974.0,6475.0,6580.0,7477.0,7479.0,7534.0,11291.0
Immigrants,Foreigners,Iraq,935.0,Asia,922.0,Western Asia,902.0,Developing regions,262.0,245.0,260.0,380.0,428.0,231.0,265.0,384.0,619.0,911.0,557.0,1013.0,1498.0,2103.0,1500.0,2034.0,2675.0,2564.0,2037.0,2159.0,2591.0,2821.0,2432.0,1515.0,1796.0,2226.0,1788.0,2406.0,3543.0,5450.0,5941.0,6196.0,4041.0,4918.0
Immigrants,Foreigners,Ireland,908.0,Europe,924.0,Northern Europe,901.0,Developed regions,781.0,895.0,707.0,298.0,327.0,287.0,481.0,1078.0,1415.0,1378.0,845.0,705.0,533.0,436.0,331.0,231.0,276.0,220.0,170.0,162.0,178.0,190.0,178.0,192.0,244.0,224.0,283.0,300.0,412.0,395.0,547.0,525.0,725.0,1015.0
Immigrants,Foreigners,Israel,935.0,Asia,922.0,Western Asia,902.0,Developing regions,1403.0,1711.0,1334.0,541.0,446.0,680.0,1212.0,1497.0,1389.0,1762.0,1596.0,1358.0,1259.0,1584.0,1699.0,2224.0,2515.0,2998.0,3172.0,2387.0,2510.0,2436.0,2539.0,2314.0,2788.0,2446.0,2625.0,2401.0,2562.0,2316.0,2755.0,1970.0,2134.0,1945.0
Immigrants,Foreigners,Italy,908.0,Europe,925.0,Southern Europe,901.0,Developed regions,1820.0,2057.0,1480.0,820.0,858.0,667.0,731.0,1101.0,885.0,1068.0,895.0,711.0,623.0,663.0,558.0,508.0,476.0,491.0,399.0,410.0,383.0,410.0,374.0,321.0,334.0,344.0,325.0,320.0,370.0,429.0,434.0,374.0,440.0,545.0
Immigrants,Foreigners,Jamaica,904.0,Latin America and the Caribbean,915.0,Caribbean,902.0,Developing regions,3198.0,2634.0,2661.0,2455.0,2508.0,2938.0,4649.0,5415.0,3924.0,3946.0,4945.0,5056.0,5991.0,6065.0,3913.0,3619.0,3282.0,2847.0,2253.0,2358.0,2482.0,2838.0,2524.0,2054.0,2237.0,1945.0,1722.0,2141.0,2334.0,2456.0,2321.0,2059.0,2182.0,2479.0
Immigrants,Foreigners,Japan,935.0,Asia,906.0,Eastern Asia,901.0,Developed regions,701.0,756.0,598.0,309.0,246.0,198.0,248.0,422.0,324.0,494.0,379.0,506.0,605.0,907.0,956.0,826.0,994.0,924.0,897.0,1083.0,1010.0,1092.0,806.0,817.0,973.0,1067.0,1212.0,1250.0,1284.0,1194.0,1168.0,1265.0,1214.0,982.0
Immigrants,Foreigners,Jordan,935.0,Asia,922.0,Western Asia,902.0,Developing regions,177.0,160.0,155.0,113.0,102.0,179.0,181.0,392.0,489.0,785.0,841.0,807.0,909.0,1141.0,1173.0,1006.0,1070.0,1317.0,999.0,1218.0,1511.0,1904.0,1499.0,1614.0,1733.0,1940.0,1827.0,1421.0,1581.0,1235.0,1831.0,1635.0,1206.0,1255.0
Immigrants,Foreigners,Kazakhstan,935.0,Asia,5500.0,Central Asia,902.0,Developing regions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,24.0,42.0,56.0,152.0,593.0,884.0,537.0,450.0,501.0,418.0,542.0,545.0,506.0,408.0,436.0,394.0,431.0,377.0,381.0,462.0,348.0
Immigrants,Foreigners,Kenya,903.0,Africa,910.0,Eastern Africa,902.0,Developing regions,291.0,296.0,221.0,201.0,218.0,245.0,244.0,628.0,984.0,1140.0,869.0,605.0,529.0,478.0,414.0,434.0,369.0,223.0,203.0,310.0,495.0,651.0,630.0,678.0,685.0,693.0,622.0,449.0,453.0,489.0,507.0,585.0,725.0,664.0
Immigrants,Foreigners,Kiribati,909.0,Oceania,954.0,Micronesia,902.0,Developing regions,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0
Immigrants,Foreigners,Kuwait,935.0,Asia,922.0,Western Asia,902.0,Developing regions,1.0,0.0,8.0,2.0,1.0,4.0,4.0,9.0,19.0,19.0,26.0,31.0,96.0,109.0,99.0,130.0,187.0,108.0,121.0,80.0,114.0,107.0,74.0,72.0,74.0,66.0,35.0,62.0,53.0,68.0,67.0,58.0,73.0,48.0
Immigrants,Foreigners,Kyrgyzstan,935.0,Asia,5500.0,Central Asia,902.0,Developing regions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,10.0,8.0,43.0,63.0,68.0,56.0,95.0,124.0,99.0,245.0,173.0,161.0,135.0,168.0,173.0,157.0,159.0,278.0,123.0
Immigrants,Foreigners,Lao People's Democratic Republic,935.0,Asia,920.0,South-Eastern Asia,902.0,Developing regions,11.0,6.0,16.0,16.0,7.0,17.0,21.0,20.0,22.0,44.0,34.0,33.0,63.0,44.0,52.0,40.0,24.0,31.0,16.0,31.0,36.0,40.0,49.0,22.0,38.0,42.0,74.0,53.0,32.0,39.0,54.0,22.0,25.0,15.0
Immigrants,Foreigners,Latvia,908.0,Europe,924.0,Northern Europe,901.0,Developed regions,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,17.0,23.0,47.0,80.0,73.0,67.0,123.0,119.0,127.0,130.0,175.0,156.0,110.0,94.0,77.0,69.0,88.0,67.0,85.0,70.0,103.0,202.0,213.0
Immigrants,Foreigners,Lebanon,935.0,Asia,922.0,Western Asia,902.0,Developing regions,1409.0,1119.0,1159.0,789.0,1253.0,1683.0,2576.0,3803.0,3970.0,7157.0,13568.0,12567.0,6915.0,4902.0,2751.0,2228.0,1919.0,1472.0,1329.0,1594.0,1903.0,2578.0,2332.0,3179.0,3293.0,3709.0,3802.0,3467.0,3566.0,3077.0,3432.0,3072.0,1614.0,2172.0
Immigrants,Foreigners,Lesotho,903.0,Africa,913.0,Southern Africa,902.0,Developing regions,1.0,1.0,1.0,2.0,7.0,5.0,3.0,1.0,6.0,5.0,1.0,4.0,4.0,7.0,2.0,3.0,9.0,2.0,1.0,4.0,1.0,0.0,2.0,2.0,2.0,4.0,0.0,4.0,1.0,8.0,7.0,1.0,0.0,6.0
Immigrants,Foreigners,Liberia,903.0,Africa,914.0,Western Africa,902.0,Developing regions,1.0,2.0,2.0,1.0,4.0,4.0,3.0,4.0,3.0,7.0,5.0,11.0,52.0,37.0,40.0,55.0,59.0,61.0,28.0,36.0,56.0,60.0,57.0,139.0,409.0,581.0,356.0,153.0,74.0,94.0,162.0,106.0,58.0,39.0
Immigrants,Foreigners,Libya,903.0,Africa,912.0,Northern Africa,902.0,Developing regions,5.0,7.0,9.0,24.0,10.0,31.0,23.0,81.0,43.0,77.0,47.0,86.0,89.0,85.0,74.0,116.0,128.0,156.0,113.0,157.0,208.0,228.0,210.0,153.0,196.0,196.0,281.0,198.0,306.0,282.0,384.0,352.0,299.0,255.0
Immigrants,Foreigners,Liechtenstein,908.0,Europe,926.0,Western Europe,901.0,Developed regions,1.0,4.0,2.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,3.0,1.0,0.0,7.0,2.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0
Immigrants,Foreigners,Lithuania,908.0,Europe,924.0,Northern Europe,901.0,Developed regions,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,5.0,11.0,43.0,63.0,84.0,103.0,87.0,114.0,74.0,96.0,116.0,183.0,125.0,194.0,220.0,167.0,113.0,108.0,109.0,63.0,57.0,52.0,77.0,145.0
Immigrants,Foreigners,Luxembourg,908.0,Europe,926.0,Western Europe,901.0,Developed regions,14.0,4.0,2.0,5.0,1.0,3.0,6.0,2.0,4.0,8.0,1.0,3.0,1.0,18.0,9.0,1.0,7.0,9.0,3.0,1.0,5.0,5.0,17.0,9.0,9.0,10.0,9.0,9.0,3.0,5.0,8.0,11.0,6.0,7.0
Immigrants,Foreigners,Madagascar,903.0,Africa,910.0,Eastern Africa,902.0,Developing regions,22.0,10.0,13.0,32.0,30.0,18.0,10.0,42.0,36.0,27.0,28.0,37.0,34.0,55.0,16.0,30.0,35.0,56.0,48.0,34.0,32.0,57.0,59.0,48.0,79.0,88.0,96.0,115.0,118.0,169.0,178.0,148.0,165.0,229.0
Immigrants,Foreigners,Malawi,903.0,Africa,910.0,Eastern Africa,902.0,Developing regions,5.0,4.0,6.0,3.0,2.0,0.0,4.0,7.0,1.0,4.0,10.0,9.0,4.0,12.0,6.0,5.0,6.0,11.0,8.0,14.0,12.0,5.0,7.0,3.0,17.0,23.0,15.0,13.0,5.0,10.0,28.0,16.0,9.0,10.0
Immigrants,Foreigners,Malaysia,935.0,Asia,920.0,South-Eastern Asia,902.0,Developing regions,786.0,816.0,813.0,448.0,384.0,374.0,425.0,817.0,2072.0,2346.0,1917.0,1338.0,1486.0,1000.0,727.0,490.0,382.0,319.0,214.0,299.0,360.0,460.0,480.0,419.0,401.0,593.0,580.0,600.0,658.0,640.0,802.0,409.0,358.0,204.0
